GLACIER,AREA,DATE
GREY,273.63,1986-01-14 0:00:00
GREY,307.59,2000-06-15 0:00:00
GREY,239.385,2001-03-12 0:00:00
GREY,265.648,2001-08-04 0:00:00
GREY,228.48,2001-12-03 0:00:00
GREY,263.858,2007-09-06 0:00:00
GREY,232.246,2016-02-02 0:00:00
,,
O´HIGGINS,886.621,1986-01-14 0:00:00
O´HIGGINS,762.324,2000-06-15 0:00:00
O´HIGGINS,822.531,2001-03-12 0:00:00
O´HIGGINS,884.015,2001-08-04 0:00:00
O´HIGGINS,780.495,2001-12-03 0:00:00
O´HIGGINS,882.787,2007-09-06 0:00:00
O´HIGGINS,761.399,2016-03-12 0:00:00
,,
JORGE MONTT,465.158,1986-01-14 0:00:00
JORGE MONTT,488.615,2000-06-15 0:00:00
JORGE MONTT,464.556,2001-03-12 0:00:00
JORGE MONTT,433.823,2001-08-04 0:00:00
JORGE MONTT,463.422,2001-12-03 0:00:00
JORGE MONTT,420.309,2007-09-06 0:00:00
JORGE MONTT,495.811,2016-03-12 0:00:00
