system:index,box_name,cloud_pct,date,glacier_area_m2,product_id,year,.geo
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20190307T142751_20190307T143547_T18FXJ,grey,21.247137,2019-03-07,7.553438210808745E7,S2A_MSIL2A_20190307T142751_N0211_R053_T18FXJ_20190307T183133,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20190215T142851_20190215T143646_T18FXJ,grey,38.455699,2019-02-15,7.553438210808745E7,S2A_MSIL2A_20190215T142851_N0211_R053_T18FXJ_20190215T183347,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20190312T142849_20190312T144100_T18FXJ,grey,38.676701,2019-03-12,7.553438210808745E7,S2B_MSIL2A_20190312T142849_N0211_R053_T18FXJ_20190312T213213,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20200220T142651_20200220T143545_T18FXJ,grey,4.321875,2020-02-20,6.3182708425598904E7,S2A_MSIL2A_20200220T142651_N0214_R053_T18FXJ_20200220T184526,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20200207T141731_20200207T142653_T18FXJ,grey,16.776313,2020-02-07,6.3182708425598904E7,S2A_MSIL2A_20200207T141731_N0214_R010_T18FXJ_20200207T182344,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20200313T141739_20200313T143550_T18FXJ,grey,22.379414,2020-03-13,6.3182708425598904E7,S2B_MSIL2A_20200313T141739_N0214_R010_T18FXJ_20200313T192607,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20210226T141739_20210226T142744_T18FXJ,grey,0.794116,2021-02-26,6.171135399091475E7,S2B_MSIL2A_20210226T141739_N0214_R010_T18FXJ_20210226T183841,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20210115T142731_20210115T143716_T18FXJ,grey,1.569634,2021-01-15,6.171135399091475E7,S2A_MSIL2A_20210115T142731_N0214_R053_T18FXJ_20210115T183847,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20210303T141741_20210303T143552_T18FXJ,grey,3.828345,2021-03-03,6.171135399091475E7,S2A_MSIL2A_20210303T141741_N0214_R010_T18FXJ_20210303T180313,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_20220221T141729_20220221T143641_T18FXJ,grey,0.368517,2022-02-21,6.074697942898157E7,S2B_MSIL2A_20220221T141729_N0400_R010_T18FXJ_20220221T183844,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
