glacier_id,year,date,item_id,cloud_cover,valid_fraction,n_valid,n_roi,n_glacier_pixels,area_m2,area_km2,ndsi_threshold,ndsi_path,validmask_path,rgb_path
de_monar,2024,2024-02-09 14:27:11.024000+00:00,S2A_MSIL2A_20240209T142711_R053_T18FWM_20240209T221747,52.016711,0.4324652195235268,100530,232458,94527,37810800.0,37.8108,0.4,data/cache/de_monar/2024/ndsi_2024-02-09_S2A_MSIL2A_20240209T142711_R053_T18FWM_20240209T221747.tif,data/cache/de_monar/2024/validmask_2024-02-09_S2A_MSIL2A_20240209T142711_R053_T18FWM_20240209T221747.tif,data/cache/de_monar/2024/rgb_2024-02-09_S2A_MSIL2A_20240209T142711_R053_T18FWM_20240209T221747.tif
de_monar,2024,2024-02-09 14:27:11.024000+00:00,S2A_MSIL2A_20240209T142711_R053_T18FXM_20240209T211619,10.117862,1.0,232458,232458,171522,68608800.0,68.6088,0.4,data/cache/de_monar/2024/ndsi_2024-02-09_S2A_MSIL2A_20240209T142711_R053_T18FXM_20240209T211619.tif,data/cache/de_monar/2024/validmask_2024-02-09_S2A_MSIL2A_20240209T142711_R053_T18FXM_20240209T211619.tif,data/cache/de_monar/2024/rgb_2024-02-09_S2A_MSIL2A_20240209T142711_R053_T18FXM_20240209T211619.tif
grey,2024,2024-02-01 14:17:09.024000+00:00,S2B_MSIL2A_20240201T141709_R010_T18FXJ_20240201T210103,45.418686,0.5259467819667089,123101,234056,135723,54289200.0,54.2892,0.4,data/cache/grey/2024/ndsi_2024-02-01_S2B_MSIL2A_20240201T141709_R010_T18FXJ_20240201T210103.tif,data/cache/grey/2024/validmask_2024-02-01_S2B_MSIL2A_20240201T141709_R010_T18FXJ_20240201T210103.tif,data/cache/grey/2024/rgb_2024-02-01_S2B_MSIL2A_20240201T141709_R010_T18FXJ_20240201T210103.tif
grey,2024,2024-02-01 14:17:09.024000+00:00,S2B_MSIL2A_20240201T141709_R010_T18FXJ_20240201T221349,45.419511,0.5233362955873808,122490,234056,135139,54055600.0,54.0556,0.4,data/cache/grey/2024/ndsi_2024-02-01_S2B_MSIL2A_20240201T141709_R010_T18FXJ_20240201T221349.tif,data/cache/grey/2024/validmask_2024-02-01_S2B_MSIL2A_20240201T141709_R010_T18FXJ_20240201T221349.tif,data/cache/grey/2024/rgb_2024-02-01_S2B_MSIL2A_20240201T141709_R010_T18FXJ_20240201T221349.tif
grey,2024,2024-02-06 14:17:11.024000+00:00,S2A_MSIL2A_20240206T141711_R010_T18FXJ_20240206T211300,37.00875,0.219938818060635,51478,234056,61900,24760000.0,24.76,0.4,data/cache/grey/2024/ndsi_2024-02-06_S2A_MSIL2A_20240206T141711_R010_T18FXJ_20240206T211300.tif,data/cache/grey/2024/validmask_2024-02-06_S2A_MSIL2A_20240206T141711_R010_T18FXJ_20240206T211300.tif,data/cache/grey/2024/rgb_2024-02-06_S2A_MSIL2A_20240206T141711_R010_T18FXJ_20240206T211300.tif
grey,2024,2024-02-24 14:27:09.024000+00:00,S2B_MSIL2A_20240224T142709_R053_T18FXJ_20240224T193201,68.38094,0.4371517927333629,102318,234056,152613,61045200.0,61.0452,0.4,data/cache/grey/2024/ndsi_2024-02-24_S2B_MSIL2A_20240224T142709_R053_T18FXJ_20240224T193201.tif,data/cache/grey/2024/validmask_2024-02-24_S2B_MSIL2A_20240224T142709_R053_T18FXJ_20240224T193201.tif,data/cache/grey/2024/rgb_2024-02-24_S2B_MSIL2A_20240224T142709_R053_T18FXJ_20240224T193201.tif
grey,2024,2024-02-26 14:17:11.024000+00:00,S2A_MSIL2A_20240226T141711_R010_T18FXJ_20240226T211514,24.688295,0.5095361793758758,119260,234056,110903,44361200.0,44.3612,0.4,data/cache/grey/2024/ndsi_2024-02-26_S2A_MSIL2A_20240226T141711_R010_T18FXJ_20240226T211514.tif,data/cache/grey/2024/validmask_2024-02-26_S2A_MSIL2A_20240226T141711_R010_T18FXJ_20240226T211514.tif,data/cache/grey/2024/rgb_2024-02-26_S2A_MSIL2A_20240226T141711_R010_T18FXJ_20240226T211514.tif
o'higgins,2024,2024-02-06 14:17:11.024000+00:00,S2A_MSIL2A_20240206T141711_R010_T18FXL_20240206T211450,54.00219,0.2898527578283583,56261,194102,53472,21388800.0,21.3888,0.4,data/cache/o_higgins/2024/ndsi_2024-02-06_S2A_MSIL2A_20240206T141711_R010_T18FXL_20240206T211450.tif,data/cache/o_higgins/2024/validmask_2024-02-06_S2A_MSIL2A_20240206T141711_R010_T18FXL_20240206T211450.tif,data/cache/o_higgins/2024/rgb_2024-02-06_S2A_MSIL2A_20240206T141711_R010_T18FXL_20240206T211450.tif
o'higgins,2024,2024-02-11 14:17:09.024000+00:00,S2B_MSIL2A_20240211T141709_R010_T18FXL_20240211T200349,62.91272,0.8748286983132579,169806,194102,117969,47187600.0,47.1876,0.4,data/cache/o_higgins/2024/ndsi_2024-02-11_S2B_MSIL2A_20240211T141709_R010_T18FXL_20240211T200349.tif,data/cache/o_higgins/2024/validmask_2024-02-11_S2B_MSIL2A_20240211T141709_R010_T18FXL_20240211T200349.tif,data/cache/o_higgins/2024/rgb_2024-02-11_S2B_MSIL2A_20240211T141709_R010_T18FXL_20240211T200349.tif
o'higgins,2024,2024-02-16 14:17:11.024000+00:00,S2A_MSIL2A_20240216T141711_R010_T18FXL_20240216T191518,27.995425,0.3435667844741424,66687,194102,56209,22483600.0,22.4836,0.4,data/cache/o_higgins/2024/ndsi_2024-02-16_S2A_MSIL2A_20240216T141711_R010_T18FXL_20240216T191518.tif,data/cache/o_higgins/2024/validmask_2024-02-16_S2A_MSIL2A_20240216T141711_R010_T18FXL_20240216T191518.tif,data/cache/o_higgins/2024/rgb_2024-02-16_S2A_MSIL2A_20240216T141711_R010_T18FXL_20240216T191518.tif
o'higgins,2024,2024-02-21 14:17:09.024000+00:00,S2B_MSIL2A_20240221T141709_R010_T18FXL_20240221T201225,54.088944,0.5195876394885164,100853,194102,82751,33100400.0,33.1004,0.4,data/cache/o_higgins/2024/ndsi_2024-02-21_S2B_MSIL2A_20240221T141709_R010_T18FXL_20240221T201225.tif,data/cache/o_higgins/2024/validmask_2024-02-21_S2B_MSIL2A_20240221T141709_R010_T18FXL_20240221T201225.tif,data/cache/o_higgins/2024/rgb_2024-02-21_S2B_MSIL2A_20240221T141709_R010_T18FXL_20240221T201225.tif
